Crypt_size_1	Crypt_size_2	Crypt_size_3	Crypt_size_4	Crypt_size_5	Crypt_size_6	Crypt_size_7	Crypt_size_8	Crypt_size_9	Crypt_size_10	Crypt_size_11	Crypt_size_12	Crypt_size_13	Crypt_size_14	Crypt_size_15	Crypt_size_16	Crypt_size_17	Crypt_size_18	Crypt_size_19	Crypt_size_20
0	1	5	11	10	24	121	193	125	259	151	544	554	670	610	492	427	788	761	996
0	1	2	8	26	18	58	88	120	166	239	104	209	301	492	1508	444	1452	1129	2015
0	1	2	5	6	46	22	106	63	82	308	197	144	291	766	550	410	365	1958	1202
0	1	2	10	20	10	44	47	73	140	162	235	199	331	286	343	596	1249	1819	655
0	1	2	13	17	7	31	141	35	463	354	476	232	107	823	793	791	1195	353	920
0	1	3	24	16	37	40	50	123	60	42	123	288	300	271	445	402	830	1667	1049
0	1	3	15	11	31	62	105	225	154	340	186	245	318	319	948	1197	1002	2184	370
0	1	2	5	10	28	102	29	94	193	77	121	179	276	178	239	298	1197	834	2268
0	1	3	16	26	64	29	83	80	83	379	84	536	184	291	515	1666	1005	1385	1300
0	1	3	4	8	52	208	81	41	95	499	372	451	447	474	311	1082	871	1687	1117
0	1	10	5	9	21	97	83	95	233	351	195	314	717	478	386	673	902	785	2081
0	1	3	4	31	25	38	51	247	172	98	71	459	452	377	198	267	1523	1159	533
0	1	4	7	18	10	50	75	200	179	109	147	280	297	825	646	778	272	375	1166
0	1	3	5	9	16	48	64	96	252	304	232	473	1359	491	410	328	226	1151	801
0	1	3	8	7	10	15	72	73	120	190	520	459	261	344	612	233	1361	519	397
0	1	4	7	7	61	50	121	31	455	189	281	410	336	364	264	990	640	1854	4242
0	1	4	3	14	14	25	22	151	252	175	305	780	156	180	960	466	749	1473	767
0	1	2	5	14	33	51	115	181	88	362	382	155	467	346	819	559	871	785	288
0	1	4	6	14	12	29	29	193	227	157	98	505	144	469	407	1800	521	314	1479
0	1	7	8	11	20	36	125	228	72	203	405	279	914	345	240	2173	1577	487	601
0	1	4	6	12	40	79	286	67	105	51	98	373	221	567	780	380	744	817	500
0	1	2	19	18	12	45	112	137	318	39	235	272	146	1158	919	389	359	798	1871
0	1	3	12	10	11	184	113	48	173	150	472	181	170	586	404	476	945	1294	840
0	1	3	7	21	28	29	28	80	327	227	137	248	368	334	543	477	512	509	836
0	1	2	3	12	27	20	125	37	73	153	309	282	358	247	292	1359	983	1569	1763
0	1	4	21	29	29	19	22	113	121	132	169	296	305	383	1052	1403	1082	1475	588
0	1	3	4	46	80	89	201	150	86	119	245	290	247	357	457	738	604	2674	494
0	1	4	8	22	29	53	198	101	129	472	116	203	261	224	623	758	1134	462	642
0	1	2	9	13	25	90	103	99	58	228	539	360	151	155	624	307	1113	675	979
0	1	3	12	27	47	45	157	88	180	389	448	204	171	1243	336	641	477	1345	718
0	1	5	4	24	53	43	92	29	42	229	234	1026	486	321	241	532	1268	1232	872
0	1	4	9	14	25	14	117	42	215	73	182	508	1317	596	563	1068	1223	2561	2103
0	1	6	20	6	18	66	68	43	157	201	318	84	517	201	469	974	986	393	704
0	1	5	7	45	28	109	28	45	142	81	236	185	370	317	394	994	395	1015	2240
0	1	7	8	23	37	51	148	94	89	124	301	320	261	712	443	1214	326	447	1732
0	1	7	4	16	10	18	97	170	80	616	273	188	240	771	388	621	434	509	2310
0	1	2	13	17	40	71	62	42	129	168	322	1152	348	468	595	183	516	645	2138
0	1	2	10	8	23	98	17	189	115	156	285	172	334	550	671	522	691	911	889
0	1	6	26	12	41	105	207	47	259	193	174	135	406	321	773	1263	1097	1299	1446
0	1	7	15	13	16	59	120	113	144	182	82	263	823	569	448	524	363	834	1274
0	1	5	11	14	15	50	98	291	127	217	620	137	596	478	370	279	738	1426	1274
0	1	7	6	21	31	30	75	72	101	293	117	570	170	116	473	530	1992	1510	756
0	1	2	8	8	70	73	111	131	71	84	207	112	548	1417	325	434	832	1223	743
0	1	3	9	26	43	26	59	196	103	242	301	301	796	662	375	2614	640	944	815
0	1	4	9	23	26	56	155	72	49	133	202	485	321	405	815	788	300	422	1328
0	1	3	8	9	11	32	80	144	87	191	141	190	550	313	777	796	452	340	560
0	1	4	5	33	18	85	99	175	138	151	155	411	457	424	1446	1176	536	852	338
0	1	2	11	46	54	79	67	89	335	519	115	110	299	823	572	892	763	1472	1076
0	1	6	6	5	20	28	104	85	109	136	67	222	334	261	959	713	823	2642	1606
0	1	2	3	45	16	25	57	28	80	125	296	120	452	417	2387	1715	1512	1694	1291
0	1	5	7	4	39	21	192	45	161	49	125	955	423	560	486	885	2123	786	1093
0	1	2	15	6	24	16	132	43	141	347	453	552	355	1370	397	375	146	1860	2237
0	1	5	3	32	16	40	122	216	52	165	184	310	117	568	1169	362	446	2496	2247
0	1	3	7	11	16	85	48	213	169	270	491	127	656	459	356	2173	1042	1640	1441
0	1	3	20	16	59	52	50	101	150	247	171	336	558	249	1265	413	373	1976	607
0	1	4	4	55	25	28	98	105	26	237	268	570	466	522	328	499	790	1059	1378
0	1	5	14	39	72	89	73	112	132	314	668	197	715	343	450	496	1637	704	442
0	1	3	8	21	31	56	142	111	134	447	304	346	601	192	348	661	306	1552	1191
0	1	2	4	16	30	31	64	65	361	125	630	296	439	111	983	1204	563	1010	1938
0	1	5	7	21	13	24	75	305	65	201	142	305	368	276	795	723	1048	2535	1016
0	1	2	12	11	32	29	44	89	128	91	360	265	267	242	298	1113	567	1359	570
